,deadline,destination,end_time,net_reward,parameters,penalty,start,success
0,20,"(6, 6)",0,0.0,"(1.0, 0.5, 0.1)",0.0,"(8, 4)",False
1,35,"(6, 5)",8,3.0,"(1.0, 0.5, 0.1)",-7.0,"(1, 3)",True
2,30,"(7, 2)",17,5.5,"(1.0, 0.5, 0.1)",-12.5,"(2, 3)",True
3,30,"(5, 5)",8,15.5,"(1.0, 0.5, 0.1)",-4.5,"(8, 2)",True
4,25,"(3, 3)",1,10.5,"(1.0, 0.5, 0.1)",-9.5,"(6, 1)",True
5,40,"(1, 2)",24,31.5,"(1.0, 0.5, 0.1)",-6.5,"(6, 5)",True
6,20,"(5, 5)",10,22.0,"(1.0, 0.5, 0.1)",-4.0,"(2, 4)",True
7,35,"(1, 4)",0,19.0,"(1.0, 0.5, 0.1)",-3.0,"(7, 5)",False
8,35,"(7, 1)",27,8.0,"(1.0, 0.5, 0.1)",-16.0,"(1, 2)",True
9,35,"(1, 1)",23,8.0,"(1.0, 0.5, 0.1)",-4.0,"(3, 6)",True
10,20,"(5, 5)",15,21.0,"(1.0, 0.5, 0.1)",-3.0,"(2, 4)",True
11,45,"(1, 6)",0,17.0,"(1.0, 0.5, 0.1)",-1.0,"(8, 4)",False
12,35,"(4, 2)",24,25.5,"(1.0, 0.5, 0.1)",-14.5,"(1, 6)",True
13,45,"(8, 2)",30,12.5,"(1.0, 0.5, 0.1)",-5.5,"(3, 6)",True
14,30,"(3, 3)",18,12.0,"(1.0, 0.5, 0.1)",-8.0,"(7, 1)",True
15,25,"(3, 1)",12,15.5,"(1.0, 0.5, 0.1)",-4.5,"(1, 4)",True
16,40,"(2, 3)",18,21.5,"(1.0, 0.5, 0.1)",-4.5,"(8, 1)",True
17,25,"(5, 6)",11,22.0,"(1.0, 0.5, 0.1)",-8.0,"(7, 3)",True
18,20,"(2, 4)",4,16.5,"(1.0, 0.5, 0.1)",-5.5,"(5, 3)",True
19,40,"(4, 1)",9,26.0,"(1.0, 0.5, 0.1)",-4.0,"(7, 6)",True
20,20,"(6, 4)",3,27.5,"(1.0, 0.5, 0.1)",-12.5,"(4, 2)",True
21,25,"(6, 2)",14,24.5,"(1.0, 0.5, 0.1)",-3.5,"(2, 1)",True
22,30,"(3, 3)",17,16.0,"(1.0, 0.5, 0.1)",-4.0,"(7, 1)",True
23,25,"(8, 4)",7,23.0,"(1.0, 0.5, 0.1)",-3.0,"(3, 4)",True
24,45,"(2, 2)",25,18.5,"(1.0, 0.5, 0.1)",-7.5,"(7, 6)",True
25,25,"(1, 5)",13,38.5,"(1.0, 0.5, 0.1)",-3.5,"(3, 2)",True
26,40,"(8, 4)",21,16.5,"(1.0, 0.5, 0.1)",-5.5,"(1, 3)",True
27,40,"(7, 6)",9,23.0,"(1.0, 0.5, 0.1)",-7.0,"(2, 3)",True
28,45,"(2, 5)",32,29.0,"(1.0, 0.5, 0.1)",-13.0,"(7, 1)",True
29,25,"(4, 3)",11,21.5,"(1.0, 0.5, 0.1)",-4.5,"(8, 2)",True
30,25,"(2, 6)",4,23.5,"(1.0, 0.5, 0.1)",-2.5,"(5, 4)",True
31,30,"(7, 1)",23,26.5,"(1.0, 0.5, 0.1)",-7.5,"(6, 6)",True
32,20,"(4, 2)",11,20.0,"(1.0, 0.5, 0.1)",-2.0,"(6, 4)",True
33,30,"(6, 1)",14,22.5,"(1.0, 0.5, 0.1)",-1.5,"(5, 6)",True
34,30,"(7, 6)",24,30.0,"(1.0, 0.5, 0.1)",-4.0,"(2, 5)",True
35,25,"(5, 1)",13,21.0,"(1.0, 0.5, 0.1)",-1.0,"(6, 5)",True
36,20,"(5, 3)",12,23.5,"(1.0, 0.5, 0.1)",-2.5,"(1, 3)",True
37,35,"(3, 3)",22,16.5,"(1.0, 0.5, 0.1)",-3.5,"(8, 1)",True
38,20,"(7, 5)",10,16.5,"(1.0, 0.5, 0.1)",-5.5,"(8, 2)",True
39,35,"(8, 1)",0,14.0,"(1.0, 0.5, 0.1)",-4.0,"(2, 2)",False
40,40,"(1, 3)",23,23.0,"(1.0, 0.5, 0.1)",-11.0,"(7, 5)",True
41,30,"(7, 1)",7,27.5,"(1.0, 0.5, 0.1)",-4.5,"(1, 1)",True
42,25,"(5, 1)",14,13.0,"(1.0, 0.5, 0.1)",-13.0,"(3, 4)",True
43,30,"(7, 1)",18,26.0,"(1.0, 0.5, 0.1)",-2.0,"(2, 2)",True
44,30,"(1, 6)",13,28.0,"(1.0, 0.5, 0.1)",-2.0,"(5, 4)",True
45,30,"(8, 1)",0,21.0,"(1.0, 0.5, 0.1)",-5.0,"(6, 5)",False
46,35,"(8, 1)",0,19.5,"(1.0, 0.5, 0.1)",-8.5,"(3, 3)",False
47,40,"(2, 6)",6,15.0,"(1.0, 0.5, 0.1)",-15.0,"(7, 3)",True
48,30,"(2, 1)",19,34.0,"(1.0, 0.5, 0.1)",-12.0,"(6, 3)",True
49,25,"(1, 1)",15,25.5,"(1.0, 0.5, 0.1)",-2.5,"(5, 2)",True
50,30,"(2, 1)",20,22.0,"(1.0, 0.5, 0.1)",-2.0,"(4, 5)",True
51,50,"(1, 6)",45,18.0,"(1.0, 0.5, 0.1)",-4.0,"(6, 1)",True
52,30,"(2, 6)",4,19.5,"(1.0, 0.5, 0.1)",-0.5,"(7, 5)",True
53,50,"(7, 6)",35,19.5,"(1.0, 0.5, 0.1)",-12.5,"(1, 2)",True
54,30,"(8, 6)",0,21.0,"(1.0, 0.5, 0.1)",-5.0,"(7, 1)",True
55,25,"(4, 6)",2,31.5,"(1.0, 0.5, 0.1)",-8.5,"(8, 5)",True
56,20,"(5, 2)",0,30.5,"(1.0, 0.5, 0.1)",-7.5,"(2, 1)",False
57,25,"(5, 6)",14,-4.0,"(1.0, 0.5, 0.1)",-12.0,"(8, 4)",True
58,20,"(1, 4)",10,22.5,"(1.0, 0.5, 0.1)",-3.5,"(3, 6)",True
59,35,"(8, 1)",23,21.5,"(1.0, 0.5, 0.1)",-2.5,"(1, 1)",True
60,35,"(1, 5)",17,19.0,"(1.0, 0.5, 0.1)",-5.0,"(6, 3)",True
61,40,"(7, 1)",27,22.0,"(1.0, 0.5, 0.1)",-6.0,"(4, 6)",True
62,40,"(8, 2)",29,22.0,"(1.0, 0.5, 0.1)",-4.0,"(1, 3)",True
63,25,"(2, 3)",8,21.5,"(1.0, 0.5, 0.1)",-2.5,"(4, 6)",True
64,20,"(4, 6)",10,26.0,"(1.0, 0.5, 0.1)",-6.0,"(8, 6)",True
65,30,"(6, 3)",12,15.0,"(1.0, 0.5, 0.1)",-3.0,"(2, 1)",True
66,30,"(7, 5)",18,19.0,"(1.0, 0.5, 0.1)",-7.0,"(2, 4)",True
67,20,"(4, 4)",15,30.5,"(1.0, 0.5, 0.1)",-1.5,"(1, 3)",True
68,45,"(1, 6)",21,19.5,"(1.0, 0.5, 0.1)",-0.5,"(8, 4)",True
69,35,"(3, 3)",17,26.5,"(1.0, 0.5, 0.1)",-7.5,"(8, 1)",True
70,50,"(7, 6)",24,30.5,"(1.0, 0.5, 0.1)",-3.5,"(2, 1)",True
71,20,"(4, 3)",5,35.0,"(1.0, 0.5, 0.1)",-7.0,"(8, 3)",True
72,45,"(5, 1)",32,22.0,"(1.0, 0.5, 0.1)",-4.0,"(1, 6)",True
73,30,"(4, 1)",22,23.5,"(1.0, 0.5, 0.1)",-2.5,"(3, 6)",True
74,30,"(5, 6)",22,22.5,"(1.0, 0.5, 0.1)",-1.5,"(8, 3)",True
75,25,"(6, 3)",15,20.0,"(1.0, 0.5, 0.1)",-2.0,"(3, 1)",True
76,35,"(2, 1)",15,27.0,"(1.0, 0.5, 0.1)",-1.0,"(5, 5)",True
77,35,"(8, 5)",23,18.0,"(1.0, 0.5, 0.1)",-10.0,"(5, 1)",True
78,20,"(1, 6)",0,28.5,"(1.0, 0.5, 0.1)",-1.5,"(4, 5)",False
79,35,"(3, 6)",25,2.0,"(1.0, 0.5, 0.1)",-10.0,"(7, 3)",True
80,25,"(4, 6)",13,19.5,"(1.0, 0.5, 0.1)",-2.5,"(5, 2)",True
81,20,"(1, 4)",0,21.5,"(1.0, 0.5, 0.1)",-4.5,"(3, 2)",False
82,25,"(8, 6)",1,7.0,"(1.0, 0.5, 0.1)",-9.0,"(8, 1)",True
83,25,"(4, 5)",17,40.0,"(1.0, 0.5, 0.1)",-4.0,"(5, 1)",True
84,20,"(3, 4)",9,25.5,"(1.0, 0.5, 0.1)",-0.5,"(5, 6)",True
85,25,"(7, 6)",15,20.5,"(1.0, 0.5, 0.1)",-3.5,"(5, 3)",True
86,20,"(4, 4)",17,19.5,"(1.0, 0.5, 0.1)",-2.5,"(7, 3)",True
87,45,"(6, 2)",37,18.0,"(1.0, 0.5, 0.1)",0.0,"(1, 6)",True
88,20,"(4, 1)",7,18.0,"(1.0, 0.5, 0.1)",-2.0,"(6, 3)",True
89,25,"(7, 4)",13,33.0,"(1.0, 0.5, 0.1)",-1.0,"(2, 4)",True
90,35,"(5, 5)",28,25.0,"(1.0, 0.5, 0.1)",-3.0,"(2, 1)",True
91,40,"(3, 5)",31,17.0,"(1.0, 0.5, 0.1)",-3.0,"(8, 2)",True
92,40,"(8, 2)",31,25.0,"(1.0, 0.5, 0.1)",-1.0,"(4, 6)",True
93,45,"(8, 5)",24,14.0,"(1.0, 0.5, 0.1)",-4.0,"(2, 2)",True
94,20,"(4, 6)",8,15.0,"(1.0, 0.5, 0.1)",-9.0,"(3, 3)",True
95,20,"(5, 2)",8,18.0,"(1.0, 0.5, 0.1)",-4.0,"(2, 1)",True
96,20,"(7, 5)",2,14.5,"(1.0, 0.5, 0.1)",-5.5,"(3, 5)",True
97,20,"(4, 3)",13,19.0,"(1.0, 0.5, 0.1)",-7.0,"(1, 2)",True
98,25,"(5, 6)",16,21.0,"(1.0, 0.5, 0.1)",-1.0,"(2, 4)",True
99,40,"(7, 1)",29,19.5,"(1.0, 0.5, 0.1)",-2.5,"(1, 3)",True
100,20,"(2, 2)",0,0.0,"(1.0, 0.5, 0.2)",0.0,"(5, 3)",False
101,25,"(2, 5)",0,0.5,"(1.0, 0.5, 0.2)",-7.5,"(3, 1)",False
102,30,"(6, 3)",0,7.5,"(1.0, 0.5, 0.2)",-6.5,"(1, 2)",False
103,20,"(5, 1)",0,3.0,"(1.0, 0.5, 0.2)",-9.0,"(6, 4)",False
104,40,"(8, 3)",0,14.0,"(1.0, 0.5, 0.2)",-6.0,"(2, 1)",False
105,60,"(1, 6)",0,3.0,"(1.0, 0.5, 0.2)",-13.0,"(8, 1)",False
106,30,"(5, 5)",3,14.0,"(1.0, 0.5, 0.2)",-20.0,"(2, 2)",True
107,35,"(7, 3)",3,28.0,"(1.0, 0.5, 0.2)",-6.0,"(2, 5)",True
108,25,"(8, 3)",9,26.0,"(1.0, 0.5, 0.2)",-10.0,"(4, 2)",True
109,35,"(5, 6)",20,20.0,"(1.0, 0.5, 0.2)",-4.0,"(7, 1)",True
110,40,"(7, 3)",1,17.0,"(1.0, 0.5, 0.2)",-3.0,"(2, 6)",True
111,35,"(1, 4)",9,43.5,"(1.0, 0.5, 0.2)",-8.5,"(7, 5)",True
112,20,"(4, 2)",0,21.5,"(1.0, 0.5, 0.2)",-8.5,"(7, 3)",True
113,20,"(5, 5)",15,23.0,"(1.0, 0.5, 0.2)",-7.0,"(5, 1)",True
114,20,"(7, 6)",17,9.5,"(1.0, 0.5, 0.2)",-2.5,"(3, 6)",True
115,25,"(3, 2)",9,18.0,"(1.0, 0.5, 0.2)",0.0,"(7, 3)",True
116,35,"(4, 6)",5,18.0,"(1.0, 0.5, 0.2)",-6.0,"(2, 1)",True
117,35,"(4, 1)",18,31.0,"(1.0, 0.5, 0.2)",-9.0,"(6, 6)",True
118,20,"(4, 6)",5,26.0,"(1.0, 0.5, 0.2)",-6.0,"(5, 3)",True
119,40,"(2, 2)",27,21.0,"(1.0, 0.5, 0.2)",-5.0,"(7, 5)",True
120,55,"(1, 1)",33,21.5,"(1.0, 0.5, 0.2)",-2.5,"(8, 5)",True
121,35,"(8, 4)",27,38.5,"(1.0, 0.5, 0.2)",-3.5,"(3, 2)",True
122,40,"(6, 6)",29,22.0,"(1.0, 0.5, 0.2)",-2.0,"(1, 3)",True
123,25,"(5, 2)",9,25.0,"(1.0, 0.5, 0.2)",-1.0,"(3, 5)",True
124,35,"(7, 4)",19,29.0,"(1.0, 0.5, 0.2)",-3.0,"(2, 2)",True
125,30,"(1, 6)",14,20.5,"(1.0, 0.5, 0.2)",-5.5,"(6, 5)",True
126,25,"(1, 3)",9,16.0,"(1.0, 0.5, 0.2)",-6.0,"(4, 5)",True
127,30,"(2, 2)",6,16.5,"(1.0, 0.5, 0.2)",-5.5,"(5, 5)",True
128,25,"(4, 4)",20,21.5,"(1.0, 0.5, 0.2)",-10.5,"(8, 5)",True
129,25,"(2, 3)",13,16.5,"(1.0, 0.5, 0.2)",-1.5,"(6, 4)",True
130,25,"(6, 3)",9,24.5,"(1.0, 0.5, 0.2)",-1.5,"(8, 6)",True
131,30,"(8, 5)",12,28.0,"(1.0, 0.5, 0.2)",-4.0,"(5, 2)",True
132,25,"(5, 5)",20,30.0,"(1.0, 0.5, 0.2)",-4.0,"(7, 2)",True
133,25,"(1, 2)",16,19.0,"(1.0, 0.5, 0.2)",-1.0,"(6, 2)",True
134,20,"(4, 3)",17,23.0,"(1.0, 0.5, 0.2)",-1.0,"(7, 4)",True
135,20,"(7, 2)",10,18.0,"(1.0, 0.5, 0.2)",0.0,"(3, 2)",True
136,20,"(3, 3)",12,24.0,"(1.0, 0.5, 0.2)",-2.0,"(4, 6)",True
137,25,"(1, 4)",15,22.5,"(1.0, 0.5, 0.2)",-1.5,"(4, 2)",True
138,20,"(3, 2)",10,20.5,"(1.0, 0.5, 0.2)",-1.5,"(5, 4)",True
139,30,"(6, 3)",20,19.0,"(1.0, 0.5, 0.2)",-3.0,"(3, 6)",True
140,30,"(1, 1)",22,15.5,"(1.0, 0.5, 0.2)",-4.5,"(6, 2)",True
141,20,"(3, 5)",16,17.5,"(1.0, 0.5, 0.2)",-2.5,"(2, 2)",True
142,20,"(6, 3)",10,18.0,"(1.0, 0.5, 0.2)",0.0,"(2, 3)",True
143,20,"(2, 3)",8,25.0,"(1.0, 0.5, 0.2)",-1.0,"(3, 6)",True
144,35,"(7, 3)",31,20.5,"(1.0, 0.5, 0.2)",-3.5,"(1, 4)",True
145,20,"(5, 6)",12,9.0,"(1.0, 0.5, 0.2)",-3.0,"(6, 3)",True
146,45,"(8, 3)",0,22.5,"(1.0, 0.5, 0.2)",-1.5,"(2, 6)",True
147,40,"(1, 3)",25,31.0,"(1.0, 0.5, 0.2)",-17.0,"(6, 6)",True
148,20,"(6, 6)",12,18.0,"(1.0, 0.5, 0.2)",-8.0,"(7, 3)",True
149,20,"(3, 2)",0,22.5,"(1.0, 0.5, 0.2)",-1.5,"(4, 5)",False
150,30,"(3, 2)",22,9.5,"(1.0, 0.5, 0.2)",-8.5,"(6, 5)",True
151,35,"(8, 1)",33,19.0,"(1.0, 0.5, 0.2)",-3.0,"(6, 6)",True
152,30,"(2, 2)",20,13.5,"(1.0, 0.5, 0.2)",-0.5,"(5, 5)",True
153,25,"(8, 6)",4,17.0,"(1.0, 0.5, 0.2)",-5.0,"(8, 1)",True
154,45,"(1, 6)",13,34.5,"(1.0, 0.5, 0.2)",-3.5,"(5, 1)",True
155,45,"(2, 6)",33,22.0,"(1.0, 0.5, 0.2)",-14.0,"(6, 1)",True
156,30,"(2, 3)",17,19.5,"(1.0, 0.5, 0.2)",-2.5,"(6, 5)",True
157,35,"(6, 5)",28,18.5,"(1.0, 0.5, 0.2)",-5.5,"(3, 1)",True
158,35,"(6, 6)",14,14.5,"(1.0, 0.5, 0.2)",-3.5,"(2, 3)",True
159,25,"(2, 2)",12,36.0,"(1.0, 0.5, 0.2)",-4.0,"(6, 3)",True
160,40,"(1, 4)",38,19.0,"(1.0, 0.5, 0.2)",-5.0,"(8, 3)",True
161,30,"(8, 6)",19,10.5,"(1.0, 0.5, 0.2)",-1.5,"(5, 3)",True
162,40,"(4, 6)",17,18.0,"(1.0, 0.5, 0.2)",-4.0,"(7, 1)",True
163,30,"(7, 4)",18,28.5,"(1.0, 0.5, 0.2)",-7.5,"(1, 4)",True
164,25,"(6, 1)",18,16.0,"(1.0, 0.5, 0.2)",-6.0,"(4, 4)",True
165,35,"(3, 5)",25,18.0,"(1.0, 0.5, 0.2)",-2.0,"(7, 2)",True
166,45,"(7, 5)",33,25.5,"(1.0, 0.5, 0.2)",-0.5,"(2, 1)",True
167,20,"(3, 4)",0,20.0,"(1.0, 0.5, 0.2)",-4.0,"(5, 6)",True
168,20,"(3, 4)",15,30.0,"(1.0, 0.5, 0.2)",-4.0,"(1, 6)",True
169,20,"(5, 5)",5,16.0,"(1.0, 0.5, 0.2)",-2.0,"(2, 6)",True
170,35,"(4, 5)",24,26.0,"(1.0, 0.5, 0.2)",-4.0,"(8, 2)",True
171,20,"(4, 5)",11,17.0,"(1.0, 0.5, 0.2)",-3.0,"(7, 6)",True
172,30,"(8, 4)",6,18.5,"(1.0, 0.5, 0.2)",-1.5,"(3, 5)",True
173,45,"(8, 1)",4,19.0,"(1.0, 0.5, 0.2)",-11.0,"(4, 6)",True
174,20,"(4, 4)",7,34.5,"(1.0, 0.5, 0.2)",-15.5,"(2, 6)",True
175,35,"(2, 4)",0,25.5,"(1.0, 0.5, 0.2)",-2.5,"(7, 6)",False
176,25,"(2, 5)",16,11.5,"(1.0, 0.5, 0.2)",-12.5,"(7, 5)",True
177,35,"(2, 3)",23,19.5,"(1.0, 0.5, 0.2)",-2.5,"(7, 1)",True
178,30,"(5, 6)",14,22.0,"(1.0, 0.5, 0.2)",-2.0,"(8, 3)",True
179,35,"(1, 1)",20,21.5,"(1.0, 0.5, 0.2)",-6.5,"(6, 3)",True
180,20,"(8, 2)",0,27.0,"(1.0, 0.5, 0.2)",-1.0,"(7, 5)",False
181,40,"(7, 2)",15,16.0,"(1.0, 0.5, 0.2)",-2.0,"(2, 5)",True
182,25,"(5, 4)",21,33.0,"(1.0, 0.5, 0.2)",-5.0,"(8, 6)",True
183,35,"(2, 5)",22,20.0,"(1.0, 0.5, 0.2)",0.0,"(8, 6)",True
184,20,"(4, 2)",15,21.5,"(1.0, 0.5, 0.2)",-4.5,"(6, 4)",True
185,25,"(7, 1)",19,19.5,"(1.0, 0.5, 0.2)",-0.5,"(8, 5)",True
186,20,"(4, 5)",5,16.5,"(1.0, 0.5, 0.2)",-1.5,"(7, 4)",True
187,20,"(1, 2)",11,23.5,"(1.0, 0.5, 0.2)",-4.5,"(4, 3)",True
188,20,"(8, 6)",11,21.5,"(1.0, 0.5, 0.2)",-2.5,"(8, 2)",True
189,30,"(2, 1)",10,23.5,"(1.0, 0.5, 0.2)",-0.5,"(1, 6)",True
190,30,"(1, 3)",17,30.0,"(1.0, 0.5, 0.2)",-4.0,"(7, 3)",True
191,25,"(5, 5)",20,19.5,"(1.0, 0.5, 0.2)",-4.5,"(4, 1)",True
192,30,"(2, 1)",6,19.0,"(1.0, 0.5, 0.2)",-1.0,"(7, 2)",True
193,25,"(7, 2)",19,29.5,"(1.0, 0.5, 0.2)",-6.5,"(3, 3)",True
194,25,"(2, 2)",1,19.0,"(1.0, 0.5, 0.2)",-1.0,"(4, 5)",True
195,40,"(2, 1)",26,38.5,"(1.0, 0.5, 0.2)",-3.5,"(8, 3)",True
196,25,"(1, 1)",18,32.0,"(1.0, 0.5, 0.2)",-2.0,"(4, 3)",True
197,25,"(6, 3)",13,23.0,"(1.0, 0.5, 0.2)",-1.0,"(4, 6)",True
198,35,"(1, 3)",23,28.5,"(1.0, 0.5, 0.2)",-1.5,"(6, 5)",True
199,30,"(1, 5)",0,13.0,"(1.0, 0.5, 0.2)",-7.0,"(3, 1)",False
200,45,"(1, 3)",0,0.0,"(1.0, 0.5, 0.3)",0.0,"(8, 5)",False
201,20,"(4, 4)",11,19.0,"(1.0, 0.5, 0.3)",-13.0,"(7, 5)",True
202,30,"(7, 2)",15,14.0,"(1.0, 0.5, 0.3)",-4.0,"(1, 2)",True
203,55,"(1, 5)",44,19.5,"(1.0, 0.5, 0.3)",-4.5,"(8, 1)",True
204,35,"(1, 4)",23,23.5,"(1.0, 0.5, 0.3)",-2.5,"(6, 6)",True
205,30,"(3, 1)",25,23.5,"(1.0, 0.5, 0.3)",-2.5,"(4, 6)",True
206,20,"(2, 5)",14,13.5,"(1.0, 0.5, 0.3)",-2.5,"(3, 2)",True
207,30,"(5, 2)",20,16.0,"(1.0, 0.5, 0.3)",-2.0,"(8, 5)",True
208,40,"(6, 4)",27,24.0,"(1.0, 0.5, 0.3)",-2.0,"(1, 1)",True
209,30,"(8, 4)",1,18.0,"(1.0, 0.5, 0.3)",-4.0,"(2, 4)",True
210,45,"(1, 6)",0,26.0,"(1.0, 0.5, 0.3)",-8.0,"(7, 3)",False
211,25,"(3, 6)",14,18.0,"(1.0, 0.5, 0.3)",-16.0,"(5, 3)",True
212,40,"(2, 3)",27,17.0,"(1.0, 0.5, 0.3)",-3.0,"(7, 6)",True
213,40,"(8, 4)",10,22.0,"(1.0, 0.5, 0.3)",-4.0,"(3, 1)",True
214,30,"(1, 5)",26,27.0,"(1.0, 0.5, 0.3)",-7.0,"(3, 1)",True
215,30,"(3, 5)",17,14.5,"(1.0, 0.5, 0.3)",-1.5,"(6, 2)",True
216,50,"(1, 5)",38,24.5,"(1.0, 0.5, 0.3)",-3.5,"(7, 1)",True
217,45,"(7, 2)",39,17.0,"(1.0, 0.5, 0.3)",-5.0,"(2, 6)",True
218,30,"(5, 5)",15,21.5,"(1.0, 0.5, 0.3)",-0.5,"(3, 1)",True
219,30,"(1, 1)",20,27.0,"(1.0, 0.5, 0.3)",-3.0,"(2, 6)",True
220,20,"(1, 6)",7,21.0,"(1.0, 0.5, 0.3)",-1.0,"(2, 3)",True
221,40,"(7, 1)",28,20.5,"(1.0, 0.5, 0.3)",-3.5,"(1, 3)",True
222,30,"(2, 2)",23,21.0,"(1.0, 0.5, 0.3)",-5.0,"(5, 5)",True
223,25,"(7, 1)",14,19.5,"(1.0, 0.5, 0.3)",-0.5,"(2, 1)",True
224,25,"(4, 6)",18,16.0,"(1.0, 0.5, 0.3)",-4.0,"(2, 3)",True
225,40,"(2, 2)",20,24.0,"(1.0, 0.5, 0.3)",0.0,"(7, 5)",True
226,30,"(7, 6)",20,30.5,"(1.0, 0.5, 0.3)",-5.5,"(4, 3)",True
227,35,"(1, 3)",19,18.0,"(1.0, 0.5, 0.3)",-4.0,"(7, 2)",True
228,30,"(2, 6)",23,25.5,"(1.0, 0.5, 0.3)",-4.5,"(4, 2)",True
229,25,"(7, 6)",14,21.0,"(1.0, 0.5, 0.3)",-1.0,"(7, 1)",True
230,20,"(5, 2)",13,25.5,"(1.0, 0.5, 0.3)",-0.5,"(2, 3)",True
231,25,"(5, 5)",18,15.5,"(1.0, 0.5, 0.3)",-0.5,"(4, 1)",True
232,20,"(6, 2)",10,15.5,"(1.0, 0.5, 0.3)",-2.5,"(6, 6)",True
233,20,"(4, 3)",14,23.5,"(1.0, 0.5, 0.3)",-0.5,"(3, 6)",True
234,25,"(8, 1)",0,16.0,"(1.0, 0.5, 0.3)",-2.0,"(3, 1)",False
235,25,"(3, 4)",10,18.5,"(1.0, 0.5, 0.3)",-3.5,"(8, 4)",True
236,20,"(2, 6)",12,19.5,"(1.0, 0.5, 0.3)",-2.5,"(5, 5)",True
237,25,"(8, 1)",9,23.5,"(1.0, 0.5, 0.3)",-0.5,"(6, 4)",True
238,25,"(5, 2)",17,25.0,"(1.0, 0.5, 0.3)",-3.0,"(7, 5)",True
239,25,"(4, 5)",13,16.5,"(1.0, 0.5, 0.3)",-1.5,"(6, 2)",True
240,25,"(5, 5)",13,18.0,"(1.0, 0.5, 0.3)",-2.0,"(4, 1)",True
241,20,"(4, 5)",14,19.5,"(1.0, 0.5, 0.3)",-2.5,"(1, 4)",True
242,35,"(5, 2)",14,18.0,"(1.0, 0.5, 0.3)",0.0,"(8, 6)",True
243,20,"(1, 1)",0,22.0,"(1.0, 0.5, 0.3)",-6.0,"(1, 5)",False
244,30,"(3, 5)",24,6.0,"(1.0, 0.5, 0.3)",-6.0,"(6, 2)",True
245,25,"(6, 6)",16,21.0,"(1.0, 0.5, 0.3)",-1.0,"(2, 5)",True
246,50,"(8, 1)",10,21.0,"(1.0, 0.5, 0.3)",-3.0,"(3, 6)",True
247,40,"(1, 1)",30,42.5,"(1.0, 0.5, 0.3)",-9.5,"(4, 6)",True
248,20,"(6, 4)",15,15.5,"(1.0, 0.5, 0.3)",-4.5,"(3, 3)",True
249,30,"(3, 1)",12,22.0,"(1.0, 0.5, 0.3)",0.0,"(6, 4)",True
250,20,"(7, 4)",15,20.0,"(1.0, 0.5, 0.3)",-6.0,"(3, 4)",True
251,20,"(6, 4)",13,22.0,"(1.0, 0.5, 0.3)",0.0,"(3, 5)",True
252,30,"(7, 2)",15,15.5,"(1.0, 0.5, 0.3)",-0.5,"(4, 5)",True
253,30,"(1, 3)",18,25.5,"(1.0, 0.5, 0.3)",-2.5,"(6, 4)",True
254,20,"(8, 1)",10,25.0,"(1.0, 0.5, 0.3)",-1.0,"(5, 2)",True
255,25,"(4, 1)",21,18.0,"(1.0, 0.5, 0.3)",0.0,"(4, 6)",True
256,25,"(4, 6)",15,20.0,"(1.0, 0.5, 0.3)",0.0,"(3, 2)",True
257,20,"(5, 3)",15,24.0,"(1.0, 0.5, 0.3)",0.0,"(8, 2)",True
258,20,"(3, 1)",9,15.5,"(1.0, 0.5, 0.3)",-0.5,"(7, 1)",True
259,25,"(3, 2)",15,18.0,"(1.0, 0.5, 0.3)",0.0,"(8, 2)",True
260,35,"(1, 5)",12,9.0,"(1.0, 0.5, 0.3)",-7.0,"(6, 3)",True
261,45,"(7, 4)",36,27.0,"(1.0, 0.5, 0.3)",-5.0,"(1, 1)",True
262,25,"(5, 2)",9,24.5,"(1.0, 0.5, 0.3)",-1.5,"(8, 4)",True
263,25,"(3, 2)",9,18.0,"(1.0, 0.5, 0.3)",-2.0,"(1, 5)",True
264,20,"(3, 3)",6,23.5,"(1.0, 0.5, 0.3)",-2.5,"(5, 1)",True
265,25,"(8, 3)",9,16.5,"(1.0, 0.5, 0.3)",-3.5,"(3, 3)",True
266,30,"(5, 1)",17,16.5,"(1.0, 0.5, 0.3)",-5.5,"(2, 4)",True
267,30,"(6, 5)",19,17.0,"(1.0, 0.5, 0.3)",-5.0,"(1, 4)",True
268,35,"(7, 5)",22,31.5,"(1.0, 0.5, 0.3)",-0.5,"(2, 3)",True
269,50,"(1, 5)",28,15.0,"(1.0, 0.5, 0.3)",-5.0,"(7, 1)",True
270,25,"(1, 6)",13,18.5,"(1.0, 0.5, 0.3)",-9.5,"(4, 4)",True
271,35,"(1, 2)",32,31.0,"(1.0, 0.5, 0.3)",-1.0,"(8, 2)",True
272,25,"(7, 1)",12,6.5,"(1.0, 0.5, 0.3)",-3.0,"(5, 4)",True
273,30,"(1, 5)",15,16.0,"(1.0, 0.5, 0.3)",-4.0,"(7, 5)",True
274,45,"(6, 6)",20,24.5,"(1.0, 0.5, 0.3)",-3.5,"(2, 1)",True
275,20,"(8, 3)",7,41.5,"(1.0, 0.5, 0.3)",-4.5,"(6, 1)",True
276,30,"(1, 5)",24,17.5,"(1.0, 0.5, 0.3)",-2.5,"(5, 3)",True
277,40,"(8, 2)",31,21.0,"(1.0, 0.5, 0.3)",-1.0,"(3, 5)",True
278,25,"(3, 2)",21,16.5,"(1.0, 0.5, 0.3)",-3.5,"(7, 3)",True
